method,window,cell_x,cell_y,center_x,center_y,query_count,valid_for_color,delta_mean,delta_median,delta_q25,delta_q75,improved_query_fraction,tied_query_fraction,degraded_query_fraction,all_seed_positive_query_fraction
BRIDGE-B,current_y,15,1,452381.61665625003,4623342.188843749,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,current_y,15,2,452381.61665625003,4625735.67940625,3,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,0,9,436149.92634375,4642490.11334375,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,1,8,437232.03903125,4640096.62278125,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,1,9,437232.03903125,4642490.11334375,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,1,10,437232.03903125,4644883.60390625,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,2,8,438314.15171875,4640096.62278125,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,2,9,438314.15171875,4642490.11334375,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,3,2,439396.26440625,4625735.67940625,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,3,8,439396.26440625,4640096.62278125,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,3,9,439396.26440625,4642490.11334375,2,False,3.0,3.0,1.5,4.5,0.5,0.5,0.0,0.5
BRIDGE-B,future_f,3,10,439396.26440625,4644883.60390625,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,4,5,440478.37709375,4632916.15109375,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,4,8,440478.37709375,4640096.62278125,3,False,10.666666666666666,10.0,6.5,14.5,1.0,0.0,0.0,1.0
BRIDGE-B,future_f,4,9,440478.37709375,4642490.11334375,6,True,95.0,85.5,58.75,124.25,1.0,0.0,0.0,1.0
BRIDGE-B,future_f,4,10,440478.37709375,4644883.60390625,3,False,13.666666666666666,0.0,0.0,20.5,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333
BRIDGE-B,future_f,5,6,441560.48978125,4635309.64165625,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,5,7,441560.48978125,4637703.13221875,2,False,-116.66666666666667,-116.66666666666667,-175.0,-58.333333333333336,0.0,0.5,0.5,0.0
BRIDGE-B,future_f,5,8,441560.48978125,4640096.62278125,11,True,129.27272727272728,102.0,-99.0,370.5,0.6363636363636364,0.0,0.36363636363636365,0.6363636363636364
BRIDGE-B,future_f,5,9,441560.48978125,4642490.11334375,14,True,63.357142857142854,95.5,0.25,204.25,0.7142857142857143,0.07142857142857142,0.21428571428571427,0.7142857142857143
BRIDGE-B,future_f,5,10,441560.48978125,4644883.60390625,6,True,-23.0,0.0,-51.0,0.0,0.16666666666666666,0.5,0.3333333333333333,0.0
BRIDGE-B,future_f,5,11,441560.48978125,4647277.09446875,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,6,4,442642.60246875,4630522.66053125,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,6,6,442642.60246875,4635309.64165625,4,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,6,7,442642.60246875,4637703.13221875,4,False,17.083333333333336,5.0,3.75,18.333333333333336,0.75,0.25,0.0,0.5
BRIDGE-B,future_f,6,8,442642.60246875,4640096.62278125,31,True,-54.440860215053775,0.0,-155.0,193.5,0.4838709677419355,0.06451612903225806,0.45161290322580644,0.4838709677419355
BRIDGE-B,future_f,6,9,442642.60246875,4642490.11334375,6,True,22.55555555555556,44.666666666666664,-95.5,202.58333333333331,0.5,0.0,0.5,0.5
BRIDGE-B,future_f,6,10,442642.60246875,4644883.60390625,10,True,-102.33333333333334,-102.83333333333333,-162.91666666666669,-10.333333333333334,0.3,0.0,0.7,0.1
BRIDGE-B,future_f,6,11,442642.60246875,4647277.09446875,6,True,-50.611111111111114,-73.66666666666667,-87.0,-15.083333333333334,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0
BRIDGE-B,future_f,6,13,442642.60246875,4652064.07559375,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,6,14,442642.60246875,4654457.56615625,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,7,4,443724.71515625,4630522.66053125,2,False,186.83333333333334,186.83333333333334,93.41666666666667,280.25,0.5,0.5,0.0,0.5
BRIDGE-B,future_f,7,5,443724.71515625,4632916.15109375,3,False,22.555555555555557,0.0,-7.5,41.333333333333336,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
BRIDGE-B,future_f,7,6,443724.71515625,4635309.64165625,2,False,-43.833333333333336,-43.833333333333336,-61.91666666666667,-25.75,0.0,0.0,1.0,0.0
BRIDGE-B,future_f,7,7,443724.71515625,4637703.13221875,13,True,-6.717948717948716,0.0,-1.3333333333333333,0.0,0.15384615384615385,0.5384615384615384,0.3076923076923077,0.15384615384615385
BRIDGE-B,future_f,7,8,443724.71515625,4640096.62278125,46,True,-37.992753623188406,0.0,-121.41666666666667,31.0,0.41304347826086957,0.1956521739130435,0.391304347826087,0.41304347826086957
BRIDGE-B,future_f,7,9,443724.71515625,4642490.11334375,18,True,-7.018518518518519,-8.5,-205.0,293.0,0.5,0.0,0.5,0.5
BRIDGE-B,future_f,7,10,443724.71515625,4644883.60390625,23,True,-158.3478260869565,-130.66666666666666,-261.3333333333333,0.0,0.13043478260869565,0.17391304347826086,0.6956521739130435,0.0
BRIDGE-B,future_f,7,11,443724.71515625,4647277.09446875,9,True,-87.92592592592592,-225.66666666666666,-265.0,-5.0,0.2222222222222222,0.0,0.7777777777777778,0.2222222222222222
BRIDGE-B,future_f,7,12,443724.71515625,4649670.5850312505,2,False,5.0,5.0,-9.0,19.0,0.5,0.0,0.5,0.5
BRIDGE-B,future_f,7,13,443724.71515625,4652064.07559375,2,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,7,14,443724.71515625,4654457.56615625,4,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,7,15,443724.71515625,4656851.05671875,3,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE-B,future_f,8,4,444806.82784375,4630522.66053125,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
