source,target,length_m,highway,osm_way_id
258019605,2991691166,43.355,motorway,4694845
2991691166,27728979,27.242,motorway,4694845
27728979,2991691162,36.876,motorway,4694845
2991691162,258019606,24.869,motorway,4694845
258019606,2991691158,28.863,motorway,4694845
2991691158,258019607,27.325,motorway,4694845
258019607,2991691155,39.951,motorway,4694845
2991691155,258019608,20.261,motorway,4694845
258019608,2991691153,17.597,motorway,4694845
2991691153,258019609,17.63,motorway,4694845
258019609,2991691150,20.98,motorway,4694845
2991691150,258019610,31.008,motorway,4694845
258023714,25779186,49.402,motorway,4694846
25779186,287261388,42.272,motorway,4694846
26794450,26794454,20.722,motorway,4694849
26794497,26794503,20.849,motorway,4694851
258487328,26794537,294.464,motorway,4694853
26794537,258487531,64.52,motorway,4694853
258487531,26794538,67.062,motorway,4694853
26794538,250755869,70.588,motorway,4694853
2400933889,8709510117,6.966,secondary,5007175
8709510117,2400933889,6.966,secondary,5007175
8709510117,2400933871,2.962,secondary,5007175
2400933871,8709510117,2.962,secondary,5007175
2400933871,1868481016,15.772,secondary,5007175
1868481016,2400933871,15.772,secondary,5007175
1868481016,2400933931,59.409,secondary,5007175
2400933931,1868481016,59.409,secondary,5007175
2400933931,5493106920,37.727,secondary,5007175
5493106920,2400933931,37.727,secondary,5007175
5493106920,4337224393,23.529,secondary,5007175
4337224393,5493106920,23.529,secondary,5007175
27440242,7152028335,10.295,secondary,5010709
7152028335,27440242,10.295,secondary,5010709
7152028335,258024598,5.254,secondary,5010709
258024598,7152028335,5.254,secondary,5010709
258024598,258024599,11.198,secondary,5010709
258024599,258024598,11.198,secondary,5010709
258024599,740237256,11.967,secondary,5010709
740237256,258024599,11.967,secondary,5010709
740237256,258024600,9.251,secondary,5010709
258024600,740237256,9.251,secondary,5010709
258024600,740237257,10.967,secondary,5010709
740237257,258024600,10.967,secondary,5010709
740237257,27440241,13.07,secondary,5010709
27440241,740237257,13.07,secondary,5010709
27440241,740237258,13.88,secondary,5010709
