node_id,lon,lat,x_m,y_m
305522391,-87.6895429,41.98682,442881.767,4648542.795
305522484,-87.6896064,41.9886414,442878.135,4648745.067
305523672,-87.6993933,41.9899412,442068.636,4648895.957
305523768,-87.6981557,41.989949,442171.155,4648895.987
305523770,-87.6969411,41.9899564,442271.768,4648895.989
305523772,-87.6957358,41.9899638,442371.612,4648895.999
305523774,-87.6945178,41.989971,442472.507,4648895.979
305523776,-87.6932935,41.9899783,442573.923,4648895.968
305523778,-87.6920947,41.9899855,442673.228,4648895.964
305523780,-87.6908602,41.989997,442775.493,4648896.416
305523782,-87.6902254,41.9886376,442826.858,4648745.058
305523783,-87.6901546,41.9868165,442831.093,4648542.815
305523784,-87.6901075,41.9849914,442833.362,4648340.144
305523785,-87.6900513,41.9831643,442836.383,4648137.244
305523787,-87.6919013,41.9836186,442683.537,4648188.921
305523788,-87.6931043,41.9836113,442583.874,4648188.917
305523789,-87.6906757,41.9836259,442785.071,4648188.912
305523790,-87.6943117,41.9836042,442483.847,4648188.938
305523820,-87.6986759,41.9867693,442125.186,4648543.298
305523821,-87.698737,41.9885822,442121.767,4648744.624
305523865,-87.6975204,41.9885901,442222.549,4648744.68
305523866,-87.6974579,41.986776,442226.085,4648543.219
305523876,-87.6961832,41.9849556,442330.033,4648340.242
305523884,-87.6962396,41.9867827,442327.01,4648543.142
305523886,-87.6962987,41.9885981,442323.753,4648744.745
305523905,-87.695088,41.9886058,442424.046,4648744.785
305523906,-87.6950337,41.9867892,442426.907,4648543.052
305523907,-87.6949791,41.9849625,442429.784,4648340.198
305523915,-87.6938708,41.9886138,442524.877,4648744.856
305523918,-87.6938203,41.9867962,442527.426,4648543.015
305524010,-87.6937615,41.9849699,442530.654,4648340.202
305524039,-87.6926683,41.9886216,442624.491,4648744.915
305524053,-87.6926027,41.9868029,442628.292,4648542.942
305524099,-87.6925512,41.984977,442630.919,4648340.179
305524102,-87.6914505,41.9886295,442725.372,4648744.977
305524128,-87.6913934,41.9868096,442728.471,4648542.877
305524129,-87.6913353,41.9849841,442731.648,4648340.153
305524146,-87.6902732,41.990506,442824.571,4648952.537
305524617,-87.6694418,41.9862792,444546.379,4648469.54
305524714,-87.6697472,41.9885254,444523.031,4648719.132
305524716,-87.6699185,41.988142,444508.509,4648676.675
305525817,-87.6764163,41.9760727,443959.69,4647340.859
305525916,-87.6842883,41.9759645,443307.405,4647334.025
305525917,-87.6867321,41.9759301,443104.907,4647331.826
305525929,-87.6879502,41.9759129,443003.972,4647330.726
305526352,-87.6795268,41.980584,443705.961,4647843.785
305526353,-87.6819989,41.9805568,443501.14,4647842.393
305526403,-87.6819699,41.9796272,443502.72,4647739.161
305526404,-87.6842267,41.9796118,443315.743,4647738.942
305526477,-87.679481,41.9787673,443708.155,4647642.048
305526580,-87.6794516,41.9778497,443709.783,4647540.148
305526776,-87.679422,41.9769412,443711.435,4647439.259
