method,window,cell_x,cell_y,center_x,center_y,query_count,valid_for_color,delta_mean,delta_median,delta_q25,delta_q75,improved_query_fraction,tied_query_fraction,degraded_query_fraction,all_seed_positive_query_fraction
BRIDGE,future_f,2,7,-45778.30596875,166494.784125,7,True,164.14285714285714,242.0,159.5,252.0,0.8571428571428571,0.0,0.14285714285714285,0.8571428571428571
BRIDGE,future_f,2,8,-45778.30596875,167572.933875,3,False,287.55555555555554,249.0,124.5,431.3333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666
BRIDGE,future_f,2,9,-45778.30596875,168651.083625,1,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
BRIDGE,future_f,2,10,-45778.30596875,169729.233375,4,False,327.5,326.6666666666667,196.25,457.9166666666667,1.0,0.0,0.0,1.0
BRIDGE,future_f,2,14,-45778.30596875,174041.832375,1,False,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
BRIDGE,future_f,3,5,-44780.91115625,164338.48462499998,4,False,-419.5,-522.5,-535.0,-407.0,0.0,0.0,1.0,0.0
BRIDGE,future_f,3,6,-44780.91115625,165416.634375,18,True,94.44444444444444,101.5,-54.0,188.0,0.6111111111111112,0.0,0.3888888888888889,0.6111111111111112
BRIDGE,future_f,3,7,-44780.91115625,166494.784125,12,True,130.08333333333334,205.16666666666666,-7.0,255.75,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
BRIDGE,future_f,3,8,-44780.91115625,167572.933875,3,False,51.333333333333336,0.0,0.0,77.0,0.3333333333333333,0.6666666666666666,0.0,0.0
BRIDGE,future_f,3,9,-44780.91115625,168651.083625,3,False,72.88888888888889,23.0,23.0,97.83333333333333,1.0,0.0,0.0,0.3333333333333333
BRIDGE,future_f,3,10,-44780.91115625,169729.233375,8,True,50.0,137.0,28.166666666666668,200.25,0.75,0.0,0.25,0.625
BRIDGE,future_f,3,11,-44780.91115625,170807.383125,3,False,106.55555555555554,116.0,77.33333333333333,140.5,1.0,0.0,0.0,1.0
BRIDGE,future_f,3,14,-44780.91115625,174041.832375,1,False,-92.33333333333333,-92.33333333333333,-92.33333333333333,-92.33333333333333,0.0,0.0,1.0,0.0
BRIDGE,future_f,4,3,-43783.51634375,162182.185125,1,False,-8.0,-8.0,-8.0,-8.0,0.0,0.0,1.0,0.0
BRIDGE,future_f,4,4,-43783.51634375,163260.334875,2,False,158.0,158.0,142.5,173.5,1.0,0.0,0.0,1.0
BRIDGE,future_f,4,5,-43783.51634375,164338.48462499998,7,True,30.857142857142865,94.0,-431.5,440.83333333333337,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714
BRIDGE,future_f,4,6,-43783.51634375,165416.634375,41,True,145.3821138211382,87.66666666666667,-111.0,432.3333333333333,0.5853658536585366,0.024390243902439025,0.3902439024390244,0.5853658536585366
BRIDGE,future_f,4,7,-43783.51634375,166494.784125,36,True,61.546296296296305,63.0,-212.33333333333334,300.25,0.6111111111111112,0.0,0.3888888888888889,0.5833333333333334
BRIDGE,future_f,4,8,-43783.51634375,167572.933875,11,True,78.33333333333333,92.33333333333333,-11.0,149.0,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.6363636363636364
BRIDGE,future_f,4,9,-43783.51634375,168651.083625,7,True,225.76190476190476,280.3333333333333,61.0,365.0,1.0,0.0,0.0,0.8571428571428571
BRIDGE,future_f,4,10,-43783.51634375,169729.233375,12,True,-15.944444444444448,29.166666666666668,-60.583333333333336,112.41666666666666,0.5833333333333334,0.08333333333333333,0.3333333333333333,0.5833333333333334
BRIDGE,future_f,4,11,-43783.51634375,170807.383125,1,False,195.66666666666666,195.66666666666666,195.66666666666666,195.66666666666666,1.0,0.0,0.0,1.0
BRIDGE,future_f,5,4,-42786.12153125,163260.334875,8,True,342.24999999999994,471.8333333333333,47.5,560.1666666666666,0.75,0.0,0.25,0.75
BRIDGE,future_f,5,5,-42786.12153125,164338.48462499998,42,True,72.73809523809524,-9.0,-178.25,239.5,0.47619047619047616,0.0,0.5238095238095238,0.47619047619047616
BRIDGE,future_f,5,6,-42786.12153125,165416.634375,72,True,-22.615740740740748,-14.666666666666666,-253.25,225.25,0.4166666666666667,0.041666666666666664,0.5416666666666666,0.4027777777777778
BRIDGE,future_f,5,7,-42786.12153125,166494.784125,35,True,83.86666666666666,47.666666666666664,-92.16666666666667,230.0,0.6,0.08571428571428572,0.3142857142857143,0.5142857142857142
BRIDGE,future_f,5,8,-42786.12153125,167572.933875,11,True,215.5151515151515,124.33333333333333,13.833333333333334,345.0,0.9090909090909091,0.0,0.09090909090909091,0.7272727272727273
BRIDGE,future_f,5,9,-42786.12153125,168651.083625,13,True,-102.07692307692308,-190.0,-311.6666666666667,93.0,0.3076923076923077,0.07692307692307693,0.6153846153846154,0.3076923076923077
BRIDGE,future_f,5,10,-42786.12153125,169729.233375,28,True,73.75,121.33333333333334,-184.16666666666669,175.25,0.6785714285714286,0.0,0.32142857142857145,0.6785714285714286
BRIDGE,future_f,5,11,-42786.12153125,170807.383125,5,True,75.93333333333335,115.0,73.66666666666667,167.0,0.8,0.0,0.2,0.8
BRIDGE,future_f,6,2,-41788.72671875,161104.035375,1,False,39.666666666666664,39.666666666666664,39.666666666666664,39.666666666666664,1.0,0.0,0.0,1.0
BRIDGE,future_f,6,3,-41788.72671875,162182.185125,2,False,149.0,149.0,85.5,212.5,1.0,0.0,0.0,1.0
BRIDGE,future_f,6,4,-41788.72671875,163260.334875,16,True,114.08333333333334,59.0,-273.25,438.1666666666667,0.5625,0.0625,0.375,0.5625
BRIDGE,future_f,6,5,-41788.72671875,164338.48462499998,94,True,96.66666666666669,112.0,-129.16666666666666,284.6666666666667,0.648936170212766,0.0,0.35106382978723405,0.6063829787234043
BRIDGE,future_f,6,6,-41788.72671875,165416.634375,119,True,89.43137254901961,29.333333333333332,-151.83333333333331,394.1666666666667,0.5210084033613446,0.008403361344537815,0.47058823529411764,0.48739495798319327
BRIDGE,future_f,6,7,-41788.72671875,166494.784125,41,True,112.95121951219514,152.66666666666666,-30.0,301.6666666666667,0.6829268292682927,0.024390243902439025,0.2926829268292683,0.6341463414634146
BRIDGE,future_f,6,8,-41788.72671875,167572.933875,13,True,94.15384615384616,15.333333333333334,-17.666666666666668,120.33333333333333,0.5384615384615384,0.07692307692307693,0.38461538461538464,0.3076923076923077
BRIDGE,future_f,6,9,-41788.72671875,168651.083625,5,True,147.6,161.33333333333334,0.0,276.0,0.6,0.2,0.2,0.6
BRIDGE,future_f,6,10,-41788.72671875,169729.233375,13,True,218.6410256410256,94.0,91.33333333333333,180.33333333333334,0.9230769230769231,0.0,0.07692307692307693,0.9230769230769231
BRIDGE,future_f,6,11,-41788.72671875,170807.383125,4,False,85.33333333333334,47.666666666666664,-32.66666666666667,165.66666666666669,0.5,0.0,0.5,0.5
BRIDGE,future_f,7,3,-40791.33190625,162182.185125,6,True,-144.5,-148.0,-296.75,-98.25,0.16666666666666666,0.0,0.8333333333333334,0.16666666666666666
BRIDGE,future_f,7,4,-40791.33190625,163260.334875,22,True,-0.2727272727272624,16.0,-155.75,266.75,0.5454545454545454,0.0,0.45454545454545453,0.5
BRIDGE,future_f,7,5,-40791.33190625,164338.48462499998,165,True,-40.272727272727266,-42.0,-254.0,183.0,0.41818181818181815,0.03636363636363636,0.5454545454545454,0.41818181818181815
BRIDGE,future_f,7,6,-40791.33190625,165416.634375,137,True,4.187347931873481,-34.0,-225.33333333333334,228.66666666666666,0.45985401459854014,0.0,0.5401459854014599,0.44525547445255476
BRIDGE,future_f,7,7,-40791.33190625,166494.784125,58,True,37.5,-2.0,-113.25,225.75,0.4482758620689655,0.034482758620689655,0.5172413793103449,0.39655172413793105
BRIDGE,future_f,7,8,-40791.33190625,167572.933875,18,True,22.31481481481483,0.0,-82.75,278.5,0.3888888888888889,0.16666666666666666,0.4444444444444444,0.3333333333333333
BRIDGE,future_f,7,9,-40791.33190625,168651.083625,3,False,-61.333333333333336,-41.0,-71.5,-41.0,0.0,0.0,1.0,0.0
BRIDGE,future_f,7,10,-40791.33190625,169729.233375,2,False,245.5,245.5,164.75,326.25,1.0,0.0,0.0,0.5
BRIDGE,future_f,7,11,-40791.33190625,170807.383125,1,False,-215.66666666666666,-215.66666666666666,-215.66666666666666,-215.66666666666666,0.0,0.0,1.0,0.0
BRIDGE,future_f,8,2,-39793.93709375,161104.035375,1,False,102.0,102.0,102.0,102.0,1.0,0.0,0.0,1.0
BRIDGE,future_f,8,3,-39793.93709375,162182.185125,6,True,93.5,60.0,49.25,139.75,0.8333333333333334,0.0,0.16666666666666666,0.6666666666666666
BRIDGE,future_f,8,4,-39793.93709375,163260.334875,28,True,84.63095238095238,119.5,-5.5,234.5,0.75,0.0,0.25,0.75
BRIDGE,future_f,8,5,-39793.93709375,164338.48462499998,175,True,-133.88761904761907,-110.66666666666667,-322.0,58.0,0.29714285714285715,0.011428571428571429,0.6914285714285714,0.29714285714285715
BRIDGE,future_f,8,6,-39793.93709375,165416.634375,132,True,17.214646464646464,-19.0,-157.25,221.66666666666666,0.4621212121212121,0.007575757575757576,0.5303030303030303,0.45454545454545453
BRIDGE,future_f,8,7,-39793.93709375,166494.784125,64,True,-31.88020833333333,-42.5,-277.75,231.25,0.40625,0.03125,0.5625,0.375
BRIDGE,future_f,8,8,-39793.93709375,167572.933875,32,True,-5.062500000000001,0.0,-72.75,123.25,0.46875,0.09375,0.4375,0.4375
BRIDGE,future_f,8,9,-39793.93709375,168651.083625,6,True,213.61111111111111,316.0,-88.25,359.75,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
BRIDGE,future_f,8,10,-39793.93709375,169729.233375,4,False,184.5,194.5,78.0,301.0,0.75,0.0,0.25,0.75
BRIDGE,future_f,8,11,-39793.93709375,170807.383125,1,False,-215.66666666666666,-215.66666666666666,-215.66666666666666,-215.66666666666666,0.0,0.0,1.0,0.0
BRIDGE,future_f,9,2,-38796.54228125,161104.035375,1,False,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,1.0,0.0,0.0,1.0
BRIDGE,future_f,9,3,-38796.54228125,162182.185125,2,False,-165.33333333333334,-165.33333333333334,-285.6666666666667,-45.0,0.5,0.0,0.5,0.5
BRIDGE,future_f,9,4,-38796.54228125,163260.334875,15,True,54.71111111111111,-32.0,-111.0,352.5,0.4666666666666667,0.0,0.5333333333333333,0.4666666666666667
BRIDGE,future_f,9,5,-38796.54228125,164338.48462499998,79,True,-76.70886075949367,-45.0,-298.0,77.0,0.3037974683544304,0.05063291139240506,0.6455696202531646,0.3037974683544304
BRIDGE,future_f,9,6,-38796.54228125,165416.634375,78,True,-62.30769230769231,-78.0,-270.75,128.0,0.3333333333333333,0.01282051282051282,0.6538461538461539,0.3333333333333333
BRIDGE,future_f,9,7,-38796.54228125,166494.784125,67,True,-95.91542288557214,-144.0,-320.0,88.0,0.29850746268656714,0.07462686567164178,0.6268656716417911,0.2835820895522388
BRIDGE,future_f,9,8,-38796.54228125,167572.933875,16,True,-21.583333333333336,1.0,-190.25,207.75,0.5,0.0,0.5,0.5
BRIDGE,future_f,9,9,-38796.54228125,168651.083625,6,True,129.44444444444443,38.0,-31.0,152.75,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666
BRIDGE,future_f,9,10,-38796.54228125,169729.233375,1,False,166.0,166.0,166.0,166.0,1.0,0.0,0.0,1.0
BRIDGE,future_f,10,4,-37799.14746875,163260.334875,5,True,-210.1333333333333,-225.66666666666666,-245.0,-191.0,0.0,0.0,1.0,0.0
BRIDGE,future_f,10,5,-37799.14746875,164338.48462499998,17,True,-87.05882352941177,-26.0,-169.0,0.0,0.058823529411764705,0.35294117647058826,0.5882352941176471,0.058823529411764705
BRIDGE,future_f,10,6,-37799.14746875,165416.634375,36,True,-93.03703703703702,-60.5,-172.25,-1.5,0.16666666666666666,0.08333333333333333,0.75,0.1388888888888889
BRIDGE,future_f,10,7,-37799.14746875,166494.784125,25,True,-85.33333333333334,-7.0,-286.0,14.0,0.28,0.2,0.52,0.28
BRIDGE,future_f,10,8,-37799.14746875,167572.933875,17,True,-36.0,-156.0,-231.0,314.3333333333333,0.47058823529411764,0.0,0.5294117647058824,0.47058823529411764
BRIDGE,future_f,10,9,-37799.14746875,168651.083625,7,True,-29.428571428571438,-73.0,-217.5,339.16666666666663,0.42857142857142855,0.0,0.5714285714285714,0.42857142857142855
