scope,method,requested_k,rank,region_id,z0_score,current_gain,future_gain
validation,direct_topk,10,3,599,1.220734358,151.010000000,159.574000000
validation,direct_topk,10,4,217,1.128592730,170.656000000,176.901500000
validation,direct_topk,10,5,917,0.944515586,106.258500000,111.718000000
validation,direct_topk,10,6,669,0.818449020,145.550000000,153.396500000
validation,direct_topk,10,7,1093,0.810421765,173.031500000,181.672500000
validation,direct_topk,10,8,973,0.738340080,148.277500000,153.817500000
validation,direct_topk,10,9,209,0.734974623,140.252000000,144.537000000
validation,direct_topk,10,10,696,0.640542090,125.035000000,124.598000000
validation,direct_topk,18,1,1003,1.272784948,181.605500000,184.121000000
validation,direct_topk,18,2,424,1.237535477,177.977500000,177.066000000
validation,direct_topk,18,3,599,1.220734358,151.010000000,159.574000000
validation,direct_topk,18,4,217,1.128592730,170.656000000,176.901500000
validation,direct_topk,18,5,917,0.944515586,106.258500000,111.718000000
validation,direct_topk,18,6,669,0.818449020,145.550000000,153.396500000
validation,direct_topk,18,7,1093,0.810421765,173.031500000,181.672500000
validation,direct_topk,18,8,973,0.738340080,148.277500000,153.817500000
validation,direct_topk,18,9,209,0.734974623,140.252000000,144.537000000
validation,direct_topk,18,10,696,0.640542090,125.035000000,124.598000000
validation,direct_topk,18,11,229,0.606640100,127.814500000,127.587500000
validation,direct_topk,18,12,165,0.603073657,131.878500000,129.356500000
validation,direct_topk,18,13,84,0.569069028,129.563000000,128.330500000
validation,direct_topk,18,14,253,0.509738982,131.774500000,125.405000000
validation,direct_topk,18,15,254,0.451086223,118.112000000,111.222000000
validation,direct_topk,18,16,338,0.446884453,124.321500000,116.772000000
validation,direct_topk,18,17,1177,0.436342448,110.226500000,105.475000000
validation,direct_topk,18,18,1055,0.402968705,110.526500000,105.565500000
validation,jaccard_penalty,5,1,1003,1.272784948,181.605500000,184.121000000
validation,jaccard_penalty,5,2,669,0.818449020,145.550000000,153.396500000
validation,jaccard_penalty,5,3,599,1.220734358,151.010000000,159.574000000
validation,jaccard_penalty,5,4,696,0.640542090,125.035000000,124.598000000
validation,jaccard_penalty,5,5,253,0.509738982,131.774500000,125.405000000
validation,jaccard_penalty,10,1,1003,1.272784948,181.605500000,184.121000000
validation,jaccard_penalty,10,2,669,0.818449020,145.550000000,153.396500000
validation,jaccard_penalty,10,3,599,1.220734358,151.010000000,159.574000000
validation,jaccard_penalty,10,4,696,0.640542090,125.035000000,124.598000000
validation,jaccard_penalty,10,5,253,0.509738982,131.774500000,125.405000000
validation,jaccard_penalty,10,6,254,0.451086223,118.112000000,111.222000000
validation,jaccard_penalty,10,7,917,0.944515586,106.258500000,111.718000000
validation,jaccard_penalty,10,8,424,1.237535477,177.977500000,177.066000000
validation,jaccard_penalty,10,9,151,0.308916271,73.275000000,69.979000000
validation,jaccard_penalty,10,10,632,0.295741647,91.380500000,88.246500000
validation,jaccard_penalty,18,1,1003,1.272784948,181.605500000,184.121000000
validation,jaccard_penalty,18,2,669,0.818449020,145.550000000,153.396500000
validation,jaccard_penalty,18,3,599,1.220734358,151.010000000,159.574000000
validation,jaccard_penalty,18,4,696,0.640542090,125.035000000,124.598000000
validation,jaccard_penalty,18,5,253,0.509738982,131.774500000,125.405000000
validation,jaccard_penalty,18,6,254,0.451086223,118.112000000,111.222000000
validation,jaccard_penalty,18,7,917,0.944515586,106.258500000,111.718000000
validation,jaccard_penalty,18,8,424,1.237535477,177.977500000,177.066000000
validation,jaccard_penalty,18,9,151,0.308916271,73.275000000,69.979000000
validation,jaccard_penalty,18,10,632,0.295741647,91.380500000,88.246500000
validation,jaccard_penalty,18,11,232,0.238520160,64.841500000,60.661000000
validation,jaccard_penalty,18,12,287,0.225906059,40.786000000,41.842500000
validation,jaccard_penalty,18,13,459,0.196577966,66.719000000,63.317000000
validation,jaccard_penalty,18,14,69,0.203568354,86.246500000,85.250500000
validation,jaccard_penalty,18,15,522,0.192346111,89.164500000,86.924500000
validation,jaccard_penalty,18,16,310,0.311349899,125.571500000,130.411500000
validation,jaccard_penalty,18,17,365,0.160472885,82.758500000,79.744500000
validation,jaccard_penalty,18,18,339,0.155956820,30.334500000,32.299500000
validation,marginal_coverage,5,1,1003,1.272784948,181.605500000,184.121000000
validation,marginal_coverage,5,2,209,0.734974623,140.252000000,144.537000000
