node_id,seed_score,endpoint_risk,train_proxy_target,validation_proxy_target,test_proxy_target,selected_region_id
25504165,0.11187744,0.00049514,0.01560684,0.00000000,0.00000000,
25504166,0.10533887,0.00000000,0.00668618,0.00759448,0.00000000,
25504167,0.08783255,0.00000000,0.05518799,0.06016751,0.00000000,
25504168,0.06965397,0.00000000,0.00613296,0.10087962,0.00000000,
25504169,0.10606614,0.00049514,0.03054843,0.01008559,0.01931038,
25504170,0.11930017,0.00065976,0.02434368,0.01503346,0.10338178,
25504171,0.12054292,0.00838766,0.01536455,0.05259630,0.13667160,
25504172,0.07162203,0.00049514,0.03263274,0.01008559,0.06248910,
25504173,0.09227189,0.00000000,0.03760842,0.01258180,0.12061013,
25504174,0.10595445,0.00364025,0.01317369,0.00000000,0.00488408,
25504175,0.10926681,0.00364025,0.00645486,0.00000000,0.04926606,
25504176,0.06309602,0.00049514,0.04610671,0.00000000,0.01694643,
25504177,0.10810465,0.00838766,0.13605587,0.01962366,0.11071375,
25504178,0.11819290,0.00413539,0.14023933,0.10005211,0.05138302,
25504179,0.18530110,0.01597326,0.02974463,0.00000000,0.01103494,
25504180,0.08591541,0.01618348,0.03063169,0.00000000,0.00000000,
25504181,0.08044413,0.00049514,0.00167969,0.00758696,0.00000000,
25504182,0.11995611,0.00098834,0.00223592,0.05112391,0.00000000,
25504183,0.18659993,0.01141446,0.01709300,0.04164889,0.00640021,
25507436,0.03696859,0.00065976,0.00000000,0.00000000,0.00000000,
25507437,0.02789433,0.00000000,0.00000000,0.00000000,0.00000000,
25507438,0.02924424,0.00000000,0.00000000,0.00000000,0.00000000,
25507439,0.02985756,0.00000000,0.00000000,0.00000000,0.00000000,
25507440,0.02902561,0.00000000,0.00000000,0.00000000,0.00000000,
25507441,0.02924195,0.00000000,0.00000000,0.00000000,0.00000000,
25507442,0.02727157,0.00000000,0.00000000,0.00000000,0.00000000,
25507443,0.02845312,0.00000000,0.00000000,0.00000000,0.00000000,
25507444,0.02381363,0.00000000,0.00000000,0.00000000,0.00000000,
25507445,0.02511222,0.00000000,0.00000000,0.00000000,0.00000000,
25507446,0.02467682,0.00098834,0.00000000,0.00000000,0.00000000,
25507447,0.02556909,0.00000000,0.00000000,0.00000000,0.00000000,
