method,region_id,seed_node,seed_score,node_count,boundary_count
random_bfs_seed3,46,1520389131,0.00357707,512,28
random_bfs_seed3,47,1559348715,0.01368985,512,32
random_bfs_seed3,48,276936088,0.01281289,512,22
random_bfs_seed3,49,3693344503,0.04389445,512,37
random_bfs_seed3,50,2292541478,0.0453896,512,27
random_bfs_seed3,51,430137480,0.03319724,512,32
random_bfs_seed3,52,12308914161,0.01592953,512,30
random_bfs_seed3,53,5633756863,0.00798561,512,24
random_bfs_seed3,54,4677584504,0.02219597,512,28
random_bfs_seed3,55,4838616652,0.02378641,512,42
random_bfs_seed3,56,12458801853,0.24477027,512,29
random_bfs_seed3,57,277715049,0.0138191,512,31
random_bfs_seed3,58,1328161575,0.01959834,512,22
random_bfs_seed3,59,2671507122,0.01246063,512,32
random_bfs_seed3,60,4695890888,0.00263475,512,28
random_bfs_seed3,61,1551008001,0.01081034,512,21
random_bfs_seed3,62,1322654541,0.00412211,512,16
random_bfs_seed3,63,3170386689,0.02336562,512,29
random_bfs_seed3,64,10297103455,0.00217612,512,32
random_bfs_seed3,65,5284452300,0.056557,512,37
random_bfs_seed3,66,3714381573,0.02996519,512,29
random_bfs_seed3,67,11417754520,0.13100074,512,32
random_bfs_seed3,68,335740651,0.21499774,512,28
random_bfs_seed3,69,4502959794,0.00932594,512,28
random_bfs_seed3,70,1188215757,0.0007719,512,18
random_bfs_seed3,71,1198969864,0.00770558,512,23
random_bfs_seed3,72,1324679437,0.00871471,512,24
random_bfs_seed3,73,7657230866,0.00172737,512,30
random_bfs_seed3,74,10710747957,0.00076003,512,14
random_bfs_seed3,75,1551004492,0.00395613,512,20
random_bfs_seed3,76,12833860469,0.00192712,512,18
random_bfs_seed3,77,705402110,0.00667113,512,38
random_bfs_seed3,78,12673029434,0.01076474,512,27
random_bfs_seed3,79,6237905714,0.01149514,512,19
random_bfs_seed3,80,9627587338,0.02823618,512,29
random_bfs_seed3,81,1560913800,0.00066658,512,9
random_bfs_seed3,82,1520365321,0.00957035,512,29
random_bfs_seed3,83,12015133268,0.00204288,512,31
random_bfs_seed3,84,1391969216,0.00118452,512,16
random_bfs_seed3,85,416375846,0.02220583,512,35
random_bfs_seed3,86,2292597616,0.09339902,512,36
random_bfs_seed3,87,12050258910,0.00049537,512,24
random_bfs_seed3,88,4567404036,0.01072404,512,39
random_bfs_seed3,89,1518694270,0.01037879,512,19
random_bfs_seed3,90,12673279998,0.00793919,512,29
random_bfs_seed3,91,1142608935,0.00624047,512,16
random_bfs_seed3,92,1147306753,0.03822844,512,35
random_bfs_seed3,93,1328040218,0.01893569,512,6
random_bfs_seed3,94,1518839457,0.00568569,512,20
random_bfs_seed3,95,8425266129,0.03049302,512,15
random_bfs_seed3,96,7681314455,0.01730824,512,38
random_bfs_seed3,97,1314145978,0.03241001,512,25
random_bfs_seed3,98,13254344510,0.16867268,512,21
random_bfs_seed3,99,1323016199,0.00242986,512,12
random_bfs_seed4,0,10042421889,0.00184968,512,30
random_bfs_seed4,1,8414812395,0.02474422,512,35
random_bfs_seed4,2,1025604427,0.00740345,512,25
random_bfs_seed4,3,1300669345,0.00120377,512,7
random_bfs_seed4,4,7653856123,0.00950964,512,34
random_bfs_seed4,5,8278350437,0.06203605,512,28
random_bfs_seed4,6,4484561877,0.02669715,512,41
random_bfs_seed4,7,1147306718,0.01786529,512,32
random_bfs_seed4,8,479309437,0.05836,512,27
random_bfs_seed4,9,1132441714,0.01308687,512,41
random_bfs_seed4,10,1324682431,0.00236242,512,22
random_bfs_seed4,11,3740426664,0.02008543,512,23
random_bfs_seed4,12,1436987530,0.01241669,512,30
random_bfs_seed4,13,8267907712,0.16787548,512,37
random_bfs_seed4,14,12488286574,0.00446905,512,22
random_bfs_seed4,15,12557291367,0.00073817,512,16
random_bfs_seed4,16,8062025850,0.03318411,512,29
random_bfs_seed4,17,4526609649,0.16289793,512,40
random_bfs_seed4,18,4081008328,0.06184528,512,26
random_bfs_seed4,19,2411445331,0.00224865,512,18
random_bfs_seed4,20,1143317994,0.01038215,512,29
random_bfs_seed4,21,4758581076,0.08189191,512,41
random_bfs_seed4,22,1131292272,0.00486078,512,45
random_bfs_seed4,23,1225943149,0.14702754,512,41
random_bfs_seed4,24,12131843973,0.0013849,512,31
random_bfs_seed4,25,1328042484,0.03616572,512,31
random_bfs_seed4,26,11887703999,0.0016259,512,22
random_bfs_seed4,27,3092764699,0.04502882,512,35
random_bfs_seed4,28,12673046096,0.00628982,512,29
random_bfs_seed4,29,4422246623,0.11714496,512,35
random_bfs_seed4,30,2596033669,0.00888566,512,34
random_bfs_seed4,31,12486965496,0.00162164,512,20
random_bfs_seed4,32,277530108,0.01162015,512,28
random_bfs_seed4,33,1199517237,0.00061572,512,28
random_bfs_seed4,34,10840292667,0.11206605,512,35
random_bfs_seed4,35,1551009370,0.0042193,512,24
random_bfs_seed4,36,8042278893,0.00338514,512,28
random_bfs_seed4,37,9834794586,0.00358458,512,27
random_bfs_seed4,38,1262328932,0.01952751,512,22
random_bfs_seed4,39,279907090,0.01803281,512,26
random_bfs_seed4,40,3222765637,0.00758073,512,49
random_bfs_seed4,41,1903086172,0.01658599,512,29
random_bfs_seed4,42,1438727679,0.01006626,512,26
random_bfs_seed4,43,10129729556,0.01225003,512,20
random_bfs_seed4,44,1219137930,0.02448574,512,27
random_bfs_seed4,45,4488861308,0.01113477,512,35
random_bfs_seed4,46,1113192664,0.02275205,512,28
random_bfs_seed4,47,280255092,0.03776608,512,27
random_bfs_seed4,48,11896721689,0.04697969,512,26
random_bfs_seed4,49,1327640373,0.01997932,512,19
random_bfs_seed4,50,1471188703,0.04387314,512,42
random_bfs_seed4,51,13384522682,0.00508926,512,25
random_bfs_seed4,52,6381469518,0.00174891,512,22
random_bfs_seed4,53,1142604572,0.02937232,512,33
random_bfs_seed4,54,1037307076,0.00632236,512,21
random_bfs_seed4,55,4561990343,0.00365794,512,23
random_bfs_seed4,56,1561621164,0.12747541,512,25
random_bfs_seed4,57,280063417,0.01504362,512,25
random_bfs_seed4,58,2860294764,0.01357873,512,24
random_bfs_seed4,59,1655900630,0.00638183,512,32
random_bfs_seed4,60,4831194152,0.02718924,512,26
random_bfs_seed4,61,1550093192,0.00220164,512,33
random_bfs_seed4,62,1322665604,0.00709259,512,22
random_bfs_seed4,63,1328160312,0.00461304,512,16
random_bfs_seed4,64,3803812837,0.00101729,512,30
random_bfs_seed4,65,1556197808,0.00179531,512,20
random_bfs_seed4,66,4505205738,0.1102552,512,57
random_bfs_seed4,67,12040748766,0.00381119,512,31
random_bfs_seed4,68,12620877797,0.0081127,512,31
random_bfs_seed4,69,1263990721,0.0514566,512,22
random_bfs_seed4,70,4537039990,0.02386583,512,30
random_bfs_seed4,71,3677975458,0.02343666,512,15
random_bfs_seed4,72,12498773838,0.00099282,512,15
random_bfs_seed4,73,111481849,0.30332386,512,24
random_bfs_seed4,74,5291943820,0.00912215,512,28
random_bfs_seed4,75,276936142,0.01512369,512,28
random_bfs_seed4,76,11355557204,0.01150786,512,36
random_bfs_seed4,77,1518683429,0.00450011,512,31
random_bfs_seed4,78,10114039000,0.01837507,512,21
random_bfs_seed4,79,5306607702,0.01656659,512,34
random_bfs_seed4,80,11398965010,0.00978855,512,22
random_bfs_seed4,81,4720729879,0.00061323,512,17
random_bfs_seed4,82,4496173301,0.01264584,512,24
random_bfs_seed4,83,5382704513,0.00311127,512,33
random_bfs_seed4,84,1518841631,0.00319141,512,17
random_bfs_seed4,85,492795948,0.06999262,512,33
random_bfs_seed4,86,1145514054,0.07987047,512,33
random_bfs_seed4,87,8097719266,0.03037946,512,31
random_bfs_seed4,88,4494941278,0.03947914,512,27
random_bfs_seed4,89,12144320100,0.02109197,512,21
random_bfs_seed4,90,3913794280,0.03452368,512,27
random_bfs_seed4,91,4115241728,0.00763092,512,19
random_bfs_seed4,92,1224763546,0.04785003,512,15
random_bfs_seed4,93,1214153536,0.01523855,512,14
random_bfs_seed4,94,4473717330,0.02253654,512,21
random_bfs_seed4,95,4492974711,0.23360112,512,35
random_bfs_seed4,96,1560913628,0.00272686,512,9
random_bfs_seed4,97,1143317087,0.17411312,512,30
random_bfs_seed4,98,1731169468,0.03093912,512,36
random_bfs_seed4,99,3876325915,0.00603115,512,23
random_bfs_seed5,0,500157124,0.01699989,512,21
random_bfs_seed5,1,11018676585,0.24333833,512,40
random_bfs_seed5,2,10103441083,0.00238826,512,28
random_bfs_seed5,3,5284395779,0.00490792,512,31
random_bfs_seed5,4,12051483811,0.01676576,512,35
random_bfs_seed5,5,1148143582,0.0442954,512,37
random_bfs_seed5,6,1148143234,0.04526695,512,24
random_bfs_seed5,7,492280359,0.11571316,512,38
random_bfs_seed5,8,8376116915,0.00168418,512,26
random_bfs_seed5,9,12766341933,0.17586693,512,46
random_bfs_seed5,10,4781178029,0.00958543,512,26
random_bfs_seed5,11,11012377485,0.01568815,512,24
random_bfs_seed5,12,1322952481,0.0057158,512,32
random_bfs_seed5,13,12163209409,0.03418936,512,33
random_bfs_seed5,14,292782532,0.02862185,512,30
random_bfs_seed5,15,4720673924,0.02521367,512,39
random_bfs_seed5,16,3814788657,0.01950039,512,18
random_bfs_seed5,17,1166036829,0.00948607,512,21
random_bfs_seed5,18,11406498913,0.03595205,512,28
random_bfs_seed5,19,1097394624,0.01385026,512,33
random_bfs_seed5,20,1853442945,0.03000563,512,13
